# Glasser HCP-MMP1 FreeSurfer Color LUT
# Compatible with freeview -l and FreeSurferColorLUT format
# LH parcels: 1001-1180, RH parcels: 2001-2180
#
# ID  Name  R  G  B  A
1136   L_TE2p_ROI                                    105 128 117   0
1137   L_PHT_ROI                                     217 252 223   0
1138   L_PH_ROI                                       88 131 163   0
1139   L_TPOJ1_ROI                                   125  90  64   0
1140   L_TPOJ2_ROI                                   156 162 138   0
1141   L_TPOJ3_ROI                                   121 148 145   0
1142   L_DVT_ROI                                     120 112 190   0
1143   L_PGp_ROI                                     155 190 228   0
1144   L_IP2_ROI                                     176 166 174   0
1145   L_IP1_ROI                                     118 121 128   0
1146   L_IP0_ROI                                     112 160 207   0
1147   L_PFop_ROI                                    187 205 145   0
1148   L_PF_ROI                                      255 255 226   0
1149   L_PFm_ROI                                     133 105 114   0
1150   L_PGi_ROI                                      53  62  46   0
1151   L_PGs_ROI                                      62  67  57   0
1152   L_V6A_ROI                                      41  89 166   0
1153   L_VMV1_ROI                                     62  61 155   0
1154   L_VMV3_ROI                                     49  53 159   0
1155   L_PHA2_ROI                                     88  90  89   0
1156   L_V4t_ROI                                      14  79 128   0
1157   L_FST_ROI                                      92 157 153   0
1158   L_V3CD_ROI                                     15  46 182   0
1159   L_LO3_ROI                                      54  94 160   0
1160   L_VMV2_ROI                                     67  62 161   0
1161   L_31pd_ROI                                     56  22  45   0
1162   L_31a_ROI                                     143 105 133   0
1163   L_VVC_ROI                                      53  61 124   0
1164   L_25_ROI                                       36  24  14   0
1165   L_s32_ROI                                      46  35  21   0
1166   L_pOFC_ROI                                     76  48  53   0
1167   L_PoI1_ROI                                    164 104  97   0
1168   L_Ig_ROI                                      110 123  36   0
1169   L_FOP5_ROI                                    163 102 105   0
1170   L_p10p_ROI                                     89  64  76   0
1171   L_p47r_ROI                                    126 123 112   0
1172   L_TGv_ROI                                      46  51  42   0
1173   L_MBelt_ROI                                   187  30  24   0
1174   L_LBelt_ROI                                   233  18  27   0
1175   L_A4_ROI                                      152  39   4   0
1176   L_STSva_ROI                                    40  33  22   0
1177   L_TE1m_ROI                                     59  45  43   0
1178   L_PI_ROI                                      122  50  50   0
1179   L_a32pr_ROI                                   130  63  87   0
1180   L_p24_ROI                                     123  35  74   0
2001   R_V1_ROI                                       62   0 255   0
2002   R_MST_ROI                                      50 112 128   0
2003   R_V6_ROI                                       67  90 180   0
2004   R_V2_ROI                                       27  56 234   0
2005   R_V3_ROI                                       19  44 232   0
2006   R_V4_ROI                                       17  47 220   0
2007   R_V8_ROI                                       23  68 210   0
2008   R_4_ROI                                        31 186  26   0
2009   R_3b_ROI                                       40 197  24   0
2010   R_FEF_ROI                                     137 155 150   0
2011   R_PEF_ROI                                     157 182 167   0
2012   R_55b_ROI                                     105 107  74   0
2013   R_V3A_ROI                                      19  72 247   0
2014   R_RSC_ROI                                     149  69 136   0
2015   R_POS2_ROI                                    205 111 205   0
2016   R_V7_ROI                                       28  96 192   0
